Date,Hour_x,Hour_y,DOTW_x,DOTW_y,Holi,Temp,Humi,WS,THI,WCT,Cons_1,Holi_1,Cons_7,Holi_7,Cons_avg,Consumption
2016-01-11 18:00,-1,-1.84E-16,0.781831482,0.623489802,0,5.9,92,5,43.29672,5.103854447,0,0,0,0,0,330
2016-01-11 19:00,-0.965925826,0.258819045,0.781831482,0.623489802,0,6,91,6,43.5524,4.872988683,0,0,0,0,0,1430
2016-01-11 20:00,-0.866025404,0.5,0.781831482,0.623489802,0,6,88,6,43.8032,4.872988683,0,0,0,0,0,690
2016-01-11 21:00,-0.707106781,0.707106781,0.781831482,0.623489802,0,6,87,6,43.8868,4.872988683,0,0,0,0,0,780
2016-01-11 22:00,-0.5,0.866025404,0.781831482,0.623489802,0,5.6,88,6,43.13072,4.413133495,0,0,0,0,0,620
2016-01-11 23:00,-0.258819045,0.965925826,0.781831482,0.623489802,0,5.9,87,7,43.71967,4.457655692,0,0,0,0,0,1550
2016-01-12 0:00,0,1,0.781831482,0.623489802,0,5.3,92,6,42.26424,4.068242104,0,0,0,0,0,320
2016-01-12 1:00,0.258819045,0.965925826,0.974927912,-0.222520934,0,5.1,92,6,41.92008,3.83831451,0,0,0,0,0,1190
2016-01-12 2:00,0.5,0.866025404,0.974927912,-0.222520934,0,5.2,92,5,42.09216,4.30973667,0,0,0,0,0,670
2016-01-12 3:00,0.707106781,0.707106781,0.974927912,-0.222520934,0,4.8,92,4,41.40384,4.28550436,0,0,0,0,0,260
2016-01-12 4:00,0.866025404,0.5,0.974927912,-0.222520934,0,4.9,93,6,41.48143,3.608386916,0,0,0,0,0,220
2016-01-12 5:00,0.965925826,0.258819045,0.974927912,-0.222520934,0,5,91,5,41.8415,4.082845877,0,0,0,0,0,280
2016-01-12 6:00,1,6.12E-17,0.974927912,-0.222520934,0,4.9,95,4,41.29245,4.397150666,0,0,0,0,0,260
2016-01-12 7:00,0.965925826,-0.258819045,0.974927912,-0.222520934,0,5.1,93,5,41.82757,4.196291274,0,0,0,0,0,230
2016-01-12 8:00,0.866025404,-0.5,0.974927912,-0.222520934,0,5.1,91,5,42.01259,4.196291274,0,0,0,0,0,440
2016-01-12 9:00,0.707106781,-0.707106781,0.974927912,-0.222520934,0,4.8,91,5,41.49932,3.855955084,0,0,0,0,0,430
2016-01-12 10:00,0.5,-0.866025404,0.974927912,-0.222520934,0,5.3,91,5,42.35477,4.423182067,0,0,0,0,0,470
2016-01-12 11:00,0.258819045,-0.965925826,0.974927912,-0.222520934,0,6.4,86,5,44.63496,5.67108143,0,0,0,0,0,1170
2016-01-12 12:00,1.22E-16,-1,0.974927912,-0.222520934,0,7,81,7,46.0003,5.73676428,0,0,0,0,0,340
2016-01-12 13:00,-0.258819045,-0.965925826,0.974927912,-0.222520934,0,7.5,79,7,46.94375,6.318177275,0,0,0,0,0,1120
2016-01-12 14:00,-0.5,-0.866025404,0.974927912,-0.222520934,0,7,81,8,46.0003,5.48337556,0,0,0,0,0,910
2016-01-12 15:00,-0.707106781,-0.707106781,0.974927912,-0.222520934,0,6.9,76,5,46.21256,6.238308413,0,0,0,0,0,810
2016-01-12 16:00,-0.866025404,-0.5,0.974927912,-0.222520934,0,6.3,82,4,44.79134,5.960198954,0,0,0,0,0,200
2016-01-12 17:00,-0.965925826,-0.258819045,0.974927912,-0.222520934,0,6.5,75,7,45.66625,5.155351286,0,0,0,0,0,270
2016-01-12 18:00,-1,-1.84E-16,0.974927912,-0.222520934,0,5.4,85,7,43.0631,3.876242698,330,0,0,0,0,1330
2016-01-12 19:00,-0.965925826,0.258819045,0.974927912,-0.222520934,0,4.8,91,6,41.49932,3.493423119,1430,0,0,0,0,320
2016-01-12 20:00,-0.866025404,0.5,0.974927912,-0.222520934,0,4.5,93,7,40.78915,2.829699308,690,0,0,0,0,340
2016-01-12 21:00,-0.707106781,0.707106781,0.974927912,-0.222520934,0,4.7,91,6,41.32823,3.378459322,780,0,0,0,0,310
2016-01-12 22:00,-0.5,0.866025404,0.974927912,-0.222520934,0,5.3,88,7,42.62636,3.759960099,620,0,0,0,0,230
2016-01-12 23:00,-0.258819045,0.965925826,0.974927912,-0.222520934,0,5.5,84,6,43.3168,4.298169698,1550,0,0,0,0,280
