Date,Actual,Predict
2016-04-17 0:00,340,339.9996737531299
2016-04-17 1:00,300,299.99982831233626
2016-04-17 2:00,330,329.9998207978027
2016-04-17 3:00,300,299.99982831233626
2016-04-17 4:00,340,339.9996737531299
2016-04-17 5:00,290,289.9997559133596
2016-04-17 6:00,300,299.99982831233626
2016-04-17 7:00,330,329.9998207978027
2016-04-17 8:00,350,349.99995339892047
2016-04-17 9:00,890,889.9335615354687
2016-04-17 10:00,680,679.9931643114307
2016-04-17 11:00,2720,2716.8795730677807
2016-04-17 12:00,790,789.9812173765263
2016-04-17 13:00,640,639.9935744767151
2016-04-17 14:00,420,419.9960882459939
2016-04-17 15:00,450,449.9967367845193
2016-04-17 16:00,600,599.9919891841397
2016-04-17 17:00,980,980.8581001772784
2016-04-17 18:00,1470,1470.608076658259
2016-04-17 19:00,700,700.0030930318694
2016-04-17 20:00,730,729.9688654063781
2016-04-17 21:00,550,549.9966264357388
2016-04-17 22:00,420,419.9993633919906
2016-04-17 23:00,320,319.9999881672083
2016-04-18 0:00,340,339.9996737531299
2016-04-18 1:00,340,339.9996737531299
2016-04-18 2:00,410,410.00055728920415
2016-04-18 3:00,320,319.9999881672083
2016-04-18 4:00,250,250.00071545387817
2016-04-18 5:00,320,319.9999881672083
2016-04-18 6:00,310,309.99910936833817
2016-04-18 7:00,330,329.9991145059609
2016-04-18 8:00,290,289.9997559133596
2016-04-18 9:00,330,330.00040529246684
2016-04-18 10:00,300,299.9999127293348
2016-04-18 11:00,290,290.15407913655207
2016-04-18 12:00,490,489.99890587639544
2016-04-18 13:00,310,310.0006799539743
2016-04-18 14:00,300,300.00112616748874
2016-04-18 15:00,250,250.00241161281232
2016-04-18 16:00,350,350.0009332339006
2016-04-18 17:00,440,439.99889549338155
2016-04-18 18:00,1750,1742.9305834095373
2016-04-18 19:00,650,649.9976366760183
2016-04-18 20:00,710,710.007256684458
2016-04-18 21:00,730,730.0201510972181
2016-04-18 22:00,290,290.0005069280987
2016-04-18 23:00,270,270.00017969781356
2016-04-19 0:00,310,309.99912493900007
2016-04-19 1:00,320,320.0000256559573
2016-04-19 2:00,230,230.00100422848791
2016-04-19 3:00,310,309.99912493900007
2016-04-19 4:00,320,319.9999881672083
2016-04-19 5:00,310,309.99981566018
2016-04-19 6:00,680,680.0051972598125
2016-04-19 7:00,460,459.99997299485943
2016-04-19 8:00,780,780.0275818493745
2016-04-19 9:00,310,309.99912493900007
2016-04-19 10:00,300,299.9998633010062
2016-04-19 11:00,240,240.00226943574674
2016-04-19 12:00,310,310.00085338907707
2016-04-19 13:00,310,310.0011227425303
2016-04-19 14:00,250,250.0142277659196
2016-04-19 15:00,320,320.0012987126293
2016-04-19 16:00,290,289.82824305281486
2016-04-19 17:00,340,340.00193908800446
2016-04-19 18:00,1600,1601.889256737513
2016-04-19 19:00,700,699.9831468929299
2016-04-19 20:00,680,680.0140530590494
2016-04-19 21:00,500,500.0010834906007
2016-04-19 22:00,330,329.9998582865517
2016-04-19 23:00,310,309.99985064884993
2016-04-20 0:00,230,230.00097892359855
2016-04-20 1:00,330,329.9998207978027
2016-04-20 2:00,310,309.99981566018
2016-04-20 3:00,240,240.00109064609
2016-04-20 4:00,310,309.99981566018
2016-04-20 5:00,320,319.9999881672083
2016-04-20 6:00,280,280.00166108023035
2016-04-20 7:00,420,420.001800786554
2016-04-20 8:00,330,330.00040529246684
2016-04-20 9:00,350,349.99903746642474
2016-04-20 10:00,350,349.99967036741805
2016-04-20 11:00,390,389.9993037923143
2016-04-20 12:00,250,250.00223572848407
2016-04-20 13:00,310,310.00093763100426
2016-04-20 14:00,350,349.804577270407
2016-04-20 15:00,1050,1048.7695924834
2016-04-20 16:00,460,460.0204407525118
2016-04-20 17:00,420,420.00797572206767
2016-04-20 18:00,1380,1381.8883577201984
2016-04-20 19:00,1440,1445.1142077312481
2016-04-20 20:00,710,710.002512545332
2016-04-20 21:00,630,629.9999719731279
2016-04-20 22:00,410,409.99942693750205
2016-04-20 23:00,320,320.00047089373874
2016-04-21 0:00,230,230.0015540540095
2016-04-21 1:00,320,320.0000256559573
2016-04-21 2:00,330,329.9998582865517
2016-04-21 3:00,300,299.9998633010062
2016-04-21 4:00,240,240.00166577650094
2016-04-21 5:00,320,319.9999881672083
2016-04-21 6:00,420,419.9986524413269
2016-04-21 7:00,330,330.0005317484664
2016-04-21 8:00,280,280.0000371260521
2016-04-21 9:00,320,320.0000256559573
2016-04-21 10:00,310,310.0004923932228
2016-04-21 11:00,300,300.00127080341196
2016-04-21 12:00,330,329.9969280657103
2016-04-21 13:00,310,310.0068163812712
2016-04-21 14:00,380,380.0061051581606
2016-04-21 15:00,360,359.9996306050326
2016-04-21 16:00,430,430.00592264857374
2016-04-21 17:00,490,490.00030605195894
2016-04-21 18:00,1250,1231.9813749405866
2016-04-21 19:00,1110,1111.9760419527447
2016-04-21 20:00,710,710.0005574664672
2016-04-21 21:00,1030,1030.1967675909837
2016-04-21 22:00,420,419.99952583652356
2016-04-21 23:00,400,400.00109526910984
2016-04-22 0:00,420,420.0000631604843
2016-04-22 1:00,350,350.0014040398264
2016-04-22 2:00,390,389.9999455366872
2016-04-22 3:00,410,409.9999574304583
2016-04-22 4:00,390,389.9999455366872
2016-04-22 5:00,410,409.9993156860854
2016-04-22 6:00,470,469.99873034763954
2016-04-22 7:00,370,369.9543427543254
2016-04-22 8:00,1010,1009.7784409848744
2016-04-22 9:00,1660,1662.7883919136411
2016-04-22 10:00,1880,1890.30097660331
2016-04-22 11:00,2340,2307.6562144081695
2016-04-22 12:00,1550,1556.8295106722298
2016-04-22 13:00,2200,2195.819252161017
2016-04-22 14:00,1440,1448.8204574982342
2016-04-22 15:00,500,499.91551665898197
