Date,Actual,Predict
2016-04-17 0:00,340,340.0123994412503
2016-04-17 1:00,300,300.0169547800855
2016-04-17 2:00,330,330.01791067401786
2016-04-17 3:00,300,300.0121407648811
2016-04-17 4:00,340,340.0057583836768
2016-04-17 5:00,290,289.99860031408485
2016-04-17 6:00,300,300.01075660130317
2016-04-17 7:00,330,329.9967522549949
2016-04-17 8:00,350,350.04319085223466
2016-04-17 9:00,890,889.7853582129169
2016-04-17 10:00,680,679.6966751544777
2016-04-17 11:00,2720,2738.7163555754173
2016-04-17 12:00,790,790.0136341988018
2016-04-17 13:00,640,639.4127929404335
2016-04-17 14:00,420,420.05135551792074
2016-04-17 15:00,450,450.24987186735973
2016-04-17 16:00,600,600.1772157255765
2016-04-17 17:00,980,978.1949493792696
2016-04-17 18:00,1470,1469.4103371632075
2016-04-17 19:00,700,699.7968266266619
2016-04-17 20:00,730,729.2550080582317
2016-04-17 21:00,550,549.7641525980416
2016-04-17 22:00,420,420.0353407657319
2016-04-17 23:00,320,320.0027290240452
2016-04-18 0:00,340,339.9883197939748
2016-04-18 1:00,340,340.00372479115896
2016-04-18 2:00,410,410.08835078801377
2016-04-18 3:00,320,320.0110605970753
2016-04-18 4:00,250,250.02727423578546
2016-04-18 5:00,320,319.99802566086964
2016-04-18 6:00,310,310.0299755761565
2016-04-18 7:00,330,329.98915858655727
2016-04-18 8:00,290,289.943928548341
2016-04-18 9:00,330,330.00320675154364
2016-04-18 10:00,300,300.0344795839507
2016-04-18 11:00,290,289.50629620895774
2016-04-18 12:00,490,490.2693539722531
2016-04-18 13:00,310,310.12116622032374
2016-04-18 14:00,300,300.0078219695534
2016-04-18 15:00,250,249.6810863338291
2016-04-18 16:00,350,349.92185428903605
2016-04-18 17:00,440,439.8627184957659
2016-04-18 18:00,1750,1762.692838316611
2016-04-18 19:00,650,649.6679775986058
2016-04-18 20:00,710,709.8908634477633
2016-04-18 21:00,730,729.5876189133479
2016-04-18 22:00,290,289.9966942072042
